Optical Constants derived by Shkuratov et al. Theory and SK-K Analysis
Wavelength    real index    im index
451.3274336    1.830144229813696    3.13928866002e-05
459.2920354    1.8301275011444305    3.08087899918e-05
467.2566372    1.830124732920215    3.04414374904e-05
472.5663717    1.830128948894003    2.96778283327e-05
477.8761062    1.8301288490203464    2.84958315604e-05
483.1858407    1.8301322974672563    2.77565911296e-05
491.1504425    1.8301255400539136    2.75854059985e-05
496.460177    1.8301249099887378    2.68494867814e-05
499.1150442    1.8301284126204953    2.59840801061e-05
501.7699115    1.8301375278839707    2.49445501734e-05
509.7345133    1.8301282031047823    2.45664918806e-05
517.699115    1.8301265151966106    2.41829362526e-05
525.6637168    1.8301258096338586    2.39827710152e-05
533.6283186    1.8301289107955345    2.3775685073e-05
546.9026549    1.8301278046590121    2.36038899346e-05
568.1415929    1.8301176441013691    2.33666818156e-05
578.7610619    1.830120803898722    2.28561176016e-05
586.7256637    1.8301217903394573    2.27946227386e-05
594.6902655    1.8301216502030153    2.21713458202e-05
602.6548673    1.8301176281606157    2.11927533871e-05
607.9646018    1.8301228636052682    2.06687038837e-05
615.9292035    1.8301185142802483    2.05860557698e-05
623.8938053    1.830115037900693    2.04986782606e-05
629.2035398    1.8301169330066966    2.08508747979e-05
634.5132743    1.8301160083804209    2.04924363769e-05
639.8230088    1.8301179151749776    2.03102238046e-05
647.7876106    1.8301115090129174    2.02093870305e-05
653.0973451    1.8301134101618213    1.98484890122e-05
658.4070796    1.830112242276778    2.00098588411e-05
663.7168142    1.8301136300209448    1.98200387892e-05
671.6814159    1.830109509397183    1.97069153552e-05
679.6460177    1.8301043108118316    1.99405941943e-05
684.9557522    1.8301126609861251    2.06349251103e-05
698.2300885    1.8301019013946498    2.14066041682e-05
708.8495575    1.8300994774710073    2.23072651941e-05
716.8141593    1.8300957032065384    2.33504383873e-05
722.1238938    1.8300980128811144    2.41353757314e-05
727.4336283    1.830098482066421    2.51528341685e-05
735.3982301    1.8300907480105035    2.67419744951e-05
740.7079646    1.8300972624426532    2.83079676907e-05
748.6725664    1.8300797539831257    2.9566170479e-05
751.3274336    1.8301033290280087    3.06518404373e-05
759.2920354    1.8300852236273766    3.09767716093e-05
764.6017699    1.8300932086927002    3.27368641917e-05
772.5663717    1.8300867372009295    3.49704450749e-05
780.5309735    1.8300851143781491    3.73255702887e-05
788.4955752    1.8300881751846725    3.98081005274e-05
799.1150442    1.8300861093268095    4.32176231046e-05
812.3893805    1.830081940219814    4.80836041789e-05
825.6637168    1.8300768223364645    5.18528348929e-05
836.2831858    1.830081181293497    5.52852602661e-05
846.9026549    1.8300724620049507    5.84830704711e-05
854.8672566    1.830089059641031    6.12027805198e-05
868.1415929    1.8300772578307496    6.44236745972e-05
881.4159292    1.8300817719669675    6.87548024946e-05
897.3451327    1.8300752981548716    7.30338445216e-05
913.2743363    1.8300626579858923    7.91813199571e-05
923.8938053    1.830071223850926    8.46951693159e-05
934.5132743    1.830070850914902    9.11739896485e-05
945.1327434    1.8300591279616873    9.74245384341e-05
953.0973451    1.830079123346445    0.000104481060291
963.7168142    1.8300782858050384    0.000112314563516
976.9911504    1.8300526826780157    0.000121838056789
984.9557522    1.8300978451200212    0.00013052026312
998.2300885    1.8300817640837739    0.000142439808458
1011.504425    1.8300891138214177    0.000152301371587
1024.778761    1.830120677363164    0.000162812414877
1043.362832    1.830084413681665    0.000171423026308
1053.982301    1.8301526855253594    0.000174334331076
1069.911504    1.8301400228577918    0.000173440562148
1085.840708    1.8301364931090092    0.000167943621074
1096.460177    1.830131126951393    0.000166205149837
1101.769912    1.830196871042257    0.000159341054462
1109.734513    1.8301687889212614    0.000155189401236
1117.699115    1.8301904250081964    0.000153181007729
1128.318584    1.830188201268199    0.000147516242708
1141.59292    1.830181622525504    0.000143330138091
1154.867257    1.8301848595552566    0.00013829178142
1168.141593    1.8301896549025654    0.00013430273271
1181.415929    1.8301900820105266    0.000131287194248
1194.690265    1.8301923743013835    0.00012919019888
1207.964602    1.830201828226064    0.000127102707337
1223.893805    1.8301989474356537    0.000125296900575
1239.823009    1.8302013703012383    0.000122639543821
1255.752212    1.8302051527282335    0.00012000366073
1271.681416    1.8302083753910119    0.000117389715545
1287.610619    1.8302196322290016    0.000113207690379
1306.19469    1.8302049457219707    0.000108580420034
1319.469027    1.8302135592982784    0.000103658079318
1330.088496    1.8302219701247768    0.000100125184456
1340.707965    1.8302162580274333    9.7375699111e-05
1348.672566    1.8302258256920574    9.44898171303e-05
1356.637168    1.8302269736816124    9.10016860352e-05
1364.60177    1.8302268516956313    8.69689777981e-05
1372.566372    1.8302178316286368    8.49367913255e-05
1377.876106    1.8302272762113019    8.33928089977e-05
1383.185841    1.8302450955119103    7.94570548452e-05
1393.80531    1.8302262318410436    7.65304865833e-05
1404.424779    1.8302108998692095    7.42402246618e-05
1409.734513    1.8302373432281518    7.06255468981e-05
1417.699115    1.8302256981394045    6.83255555374e-05
1425.663717    1.8302243159370521    6.5558367427e-05
1433.628319    1.8302244369655076    6.28685748002e-05
1441.59292    1.8302225335629199    6.07408061551e-05
1449.557522    1.8302215297603421    5.86600617825e-05
1457.522124    1.8302198521133197    5.57027751376e-05
1465.486726    1.8302197094051569    5.46365307824e-05
1473.451327    1.8302166367416013    5.22522170047e-05
1481.415929    1.8302203918669377    5.03630426418e-05
1492.035398    1.8302079848715993    4.90223709823e-05
1500    1.8302206918549018    4.72045124908e-05
1513.274336    1.8302005392933167    4.4793089748e-05
1521.238938    1.8302146384247586    4.30726788202e-05
